isotope,atom_fraction
H-1,1.40397613146107E-08
H-2,8.57587226642605E-09
H-3,1.78094504617439E-07
He-3,2.40341445496485E-09
He-4,4.19361886548182E-06
Li-6,3.70248144268594E-08
Li-7,1.3328754919071E-08
Be-9,3.10819943084798E-09
B-10,2.30484497423742E-09
B-11,4.93188490241115E-10
C-nat,0.017770521110677
N-14,2.197952980373E-12
N-15,1.6184968662545E-09
O-16,0.086110360213852
O-17,2.76666714037699E-08
Ca-46,6.52385887434054E-26
Ca-48,1.55421795878004E-30
Ti-47,1.02580659190176E-23
Ti-48,1.53853707063995E-24
Ti-49,1.83589182416409E-17
Ti-50,9.11328831964927E-15
Cr-52,3.28668322897609E-14
Cr-53,6.12121296007997E-14
Cr-54,1.1784860514838E-13
Mn-55,2.08373899407658E-13
Fe-56,4.40531085537295E-13
Fe-57,1.19956975143085E-12
Fe-58,1.16962689542322E-12
Co-58,2.40249579504481E-20
Co-59,2.66467769796703E-12
Ni-60,9.62482726918425E-15
Ni-61,1.97059829362734E-11
Ni-62,3.251437613232E-11
Ni-64,8.86736033036181E-11
Cu-63,4.40081760784325E-13
Cu-65,1.73875035935197E-10
Ge-70,3.40046062441943E-14
Ge-72,1.93132330813495E-08
Ge-73,4.64510838143163E-08
Ge-74,1.60585392280049E-07
Ge-76,1.55405423721013E-06
As-75,3.01894388831977E-07
Se-74,6.96149572634757E-15
Se-76,3.97816127948281E-09
Se-77,2.81069005139671E-06
Se-78,7.78676158639749E-06
Se-79,1.46398918247515E-05
Se-80,4.57725488634751E-05
Se-82,0.000115166300095
Br-79,5.04528028085803E-11
Br-81,6.86314454104669E-05
Kr-80,1.02159530929801E-10
Kr-82,9.20515431165324E-07
Kr-83,0.000164085395619
Kr-84,0.000397233097247
Kr-85,9.69604615209426E-05
Kr-86,0.000723361007118
Rb-85,0.000378261405551
Rb-86,3.31418845272065E-08
Rb-87,0.000943327303239
Sr-84,2.12083102530353E-13
Sr-86,6.47484245543862E-07
Sr-87,7.08018476888815E-09
Sr-88,0.001306207067298
Sr-89,0.00010505376446
Sr-90,0.00205875326338
Y-89,0.001652705578723
Y-90,5.376170669285E-07
Y-91,0.00015740828426
Zr-90,7.85946305907944E-05
Zr-91,0.002084421167285
Zr-92,0.00238722421083
Zr-93,0.002605128524734
Zr-94,0.002673163932674
Zr-95,0.000220506577302
Zr-96,0.002724854470551
Nb-93,5.11033231796817E-10
Nb-94,1.733547651686E-10
Nb-95,0.000123324182098
Mo-94,6.98266128707958E-10
Mo-95,0.002351441952162
Mo-96,6.52118475536538E-05
Mo-97,0.002652671449507
Mo-98,0.002615797713707
Mo-99,9.48084324409288E-06
Mo-100,0.002945705772714
Tc-99,0.00265878372145
Ru-98,3.32993301036014E-14
Ru-99,1.05140173066405E-07
Ru-100,0.000170415053424
Ru-101,0.002479199350547
Ru-102,0.002272018799471
Ru-103,9.94199233266726E-05
Ru-104,0.001294637409691
Ru-105,2.52207621057711E-07
Ru-106,0.000267673852028
Rh-103,0.001223700491707
Rh-105,1.87913250990536E-06
Pd-104,0.000471182492117
Pd-105,0.000771667056319
Pd-106,0.000337175477583
Pd-107,0.000322216783479
Pd-108,0.000208484866249
Pd-110,7.5840106133519E-05
Ag-107,3.96626417873615E-11
Ag-109,0.000108306366316
Ag-111,5.78642054090352E-07
Cd-108,3.63068953428126E-11
Cd-110,2.36874186471543E-05
Cd-111,3.6454517625013E-05
Cd-112,1.76099830157392E-05
Cd-113,1.70410505603087E-07
Cd-114,2.95513795426949E-05
Cd-116,1.23093152771102E-05
In-113,1.06569098545991E-08
In-115,5.4682276697872E-06
Sn-112,5.44977261060145E-16
Sn-114,3.82009719937934E-10
Sn-115,4.90878196976857E-07
Sn-116,4.56858673878515E-06
Sn-117,1.05899659237923E-05
Sn-118,1.15141741859233E-05
Sn-119,1.06524529896405E-05
Sn-120,1.12605876654213E-05
Sn-122,1.58027697532374E-05
Sn-123,1.95070612288351E-07
Sn-124,2.46048961336336E-05
Sn-125,1.13195274305882E-07
Sn-126,5.65702592681952E-05
Sb-121,9.70586944628874E-06
Sb-123,1.17754920027821E-05
Sb-124,5.05642244325455E-08
Sb-125,1.99265522735106E-05
Sb-126,1.3953807490409E-08
Te-120,3.6251502878327E-18
Te-122,3.14851131961646E-07
Te-123,1.46831870843494E-09
Te-124,2.65268964079265E-07
Te-125,7.03312391318235E-06
Te-126,1.2234821962802E-06
Te-128,0.000253686572573
Te-130,0.00120353545168
Te-132,1.08144463874218E-05
I-127,0.000105331181565
I-129,0.000538889547352
I-130,2.60753887006912E-08
I-131,1.86961846756515E-05
I-135,1.30228684526261E-06
Xe-126,1.21555079578243E-11
Xe-128,2.59765190637523E-06
Xe-129,9.94481198192679E-09
Xe-130,1.71928568381846E-05
Xe-131,0.001515497807497
Xe-132,0.003051760967444
Xe-133,2.67829387519772E-05
Xe-134,0.004799898030137
Xe-135,6.45927071501181E-07
Xe-136,0.006604100634881
Cs-133,0.003789872378446
Cs-134,0.000233710721915
Cs-135,0.001702276831834
Cs-136,1.09987241099961E-06
Cs-137,0.003815285604353
Ba-132,3.20166625597994E-11
Ba-134,7.90083913805232E-05
Ba-135,2.10013843799571E-07
Ba-136,3.21480945978645E-05
Ba-137,0.000132657221147
Ba-138,0.004249320581822
Ba-140,6.2744290625856E-05
La-138,8.2090631846898E-09
La-139,0.004009432099335
La-140,8.47953121817793E-06
Ce-140,0.004015708092848
Ce-141,0.000152572130997
Ce-142,0.003787371076683
Ce-143,6.18954852423104E-06
Ce-144,0.001207100943647
Pr-141,0.003579535639328
Pr-142,1.10524793587826E-07
Pr-143,6.19113116607349E-05
Nd-142,4.27457008615859E-05
Nd-143,0.003738527474994
Nd-144,0.002303134993396
Nd-145,0.002422960991283
Nd-146,0.002164335484685
Nd-147,2.04601026785555E-05
Nd-148,0.001184361836715
Nd-150,0.000496733971794
Pm-147,0.000732983287607
Pm-148,2.62683982403273E-06
Pm-149,2.94946227317934E-06
Pm-151,5.51225058080692E-07
Sm-147,0.000367322075989
Sm-148,0.000241481129536
Sm-149,7.30913119311903E-06
Sm-150,0.000805742972403
Sm-151,4.41373342058044E-05
Sm-152,0.000386864064486
Sm-153,1.80174678119549E-06
Sm-154,8.06684371429633E-05
Eu-151,3.32158321029483E-08
Eu-152,9.54514943849566E-08
Eu-153,0.000287632420964
Eu-154,3.1003044129213E-05
Eu-155,6.8980536180082E-06
Eu-156,6.06030853607417E-06
Eu-157,2.45340410764345E-08
Gd-152,3.59697198652297E-09
Gd-154,2.42368864270514E-06
Gd-155,1.01043495561594E-07
Gd-156,0.000122249077122
Gd-157,2.31128468932047E-07
Gd-158,3.00234434025965E-05
Gd-160,3.60212921597507E-06
Tb-159,5.32086916122717E-06
Tb-160,7.15918952201156E-08
Dy-160,1.90647401208001E-07
Dy-161,1.47440369344985E-06
Dy-162,1.46747281365708E-06
Dy-163,8.47521078786091E-07
Dy-164,2.12741627067095E-07
Ho-165,4.58962496051834E-07
Er-162,7.57506959650636E-22
Er-164,1.24789490148205E-12
Er-166,1.20775582992625E-07
Er-167,1.09174090636084E-08
Er-168,7.13212998476287E-08
Er-170,7.78979043544079E-09
Lu-175,3.1213062520834E-10
Lu-176,1.4730575383195E-12
Hf-174,1.12571313211677E-20
Hf-176,1.30280529690066E-11
Hf-177,4.56334764854809E-11
Hf-178,8.29646321609239E-11
Hf-179,3.88789612060683E-11
Hf-180,1.49721556552371E-11
Ta-181,6.07035922133797E-12
Ta-182,3.13688708815298E-14
W-182,6.28357927921491E-14
W-183,2.44268944045724E-12
W-184,1.19263887163807E-12
W-186,2.98656340004906E-13
Re-185,3.24052284190479E-13
Re-187,1.79949106178786E-13
Ir-191,1.44578880128703E-16
Ir-193,1.42221289522027E-16
Au-197,5.38145523773592E-18
Hg-196,2.53015314135924E-20
Hg-198,2.0837662810049E-18
Hg-199,1.39295221242059E-18
Hg-200,2.13188223127233E-18
Hg-201,1.08959433466649E-21
Pb-206,8.04117581039185E-19
Pb-207,1.98350501072176E-16
Pb-208,4.35040045995434E-13
Bi-209,1.02069484066351E-17
Ra-223,7.86569357437873E-18
Ra-224,7.46487588431546E-15
Ra-225,1.0240602284894E-18
Ra-226,3.41340372408493E-17
Ac-225,6.62568459518058E-19
Ac-226,3.22032141930669E-23
Ac-227,6.35788158502485E-15
Th-227,1.31210104381433E-17
Th-228,1.47607729172003E-12
Th-229,2.00317888603904E-13
Th-230,4.72889744265347E-12
Th-232,8.80354530066876E-10
Th-234,1.00610542965615E-11
Pa-231,1.11170584224685E-10
Pa-232,5.16243215977002E-13
Pa-233,2.36133801149848E-11
U-232,1.90144412162673E-10
U-233,4.6050147880897E-10
U-234,2.05245907858137E-06
U-235,0.064747696902964
U-236,0.019038089887476
U-237,1.88428973935747E-05
U-238,0.691917370052634
Np-235,6.87962584575076E-13
Np-236,1.06753740094277E-10
Np-237,0.000747542682993
Np-238,2.55562094112272E-06
Np-239,9.92734834780326E-05
Pu-236,7.05543552490371E-13
Pu-237,2.13348306440032E-11
Pu-238,0.000288069011818
Pu-239,0.003801387462196
Pu-240,0.002441416050469
Pu-241,0.002120931077374
Pu-242,0.001197523231807
Pu-243,1.38157356331198E-07
Pu-244,1.421903643366E-08
Pu-246,4.21747673647453E-26
Am-241,4.0867268716174E-05
Am-242,2.249206927397E-07
Am-243,0.000107838850277
Am-244,3.42434578234046E-09
Cm-240,6.51232559930479E-15
Cm-241,5.9229825214924E-13
Cm-242,3.30297352518195E-05
Cm-243,3.83867959756391E-07
Cm-244,1.76963006656519E-05
Cm-245,4.11239477552187E-07
Cm-246,2.08798665925142E-08
Cm-247,8.54469240300134E-11
Cm-248,2.80431400581307E-12
Cm-249,1.523411016709E-17
Cm-250,4.51262124880491E-20
Bk-249,1.85483804805956E-14
Cf-249,3.42918466429552E-15
Cf-251,9.05245666078565E-22
